Descrizione Breve,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
Addomesticamento di capre e cani nel Medio Oriente,-10000,Addomesticamento di capre e cani nel Medio Oriente,-,-
Inizio dell'agricoltura stanziale,-9500,Inizio dell'agricoltura stanziale,-,-
Scoperta del rame,-6000,Fu scoperto il rame,-,-
Evoluzione della civilta' sumera tra i fiumi Eufrate e Tigri,-5000,Evoluzione della civilta' sumera tra i fiumi Eufrate e Tigri,-,-
"Invenzione del primo calendario di 365 giorni, 12 mesi e 30 giorni",-5000,"Invenzione del primo calendario di 365 giorni, 12 mesi e 30 giorni",-,-
Prima dinastia dell'Egitto,-3100,Prima dinastia dell'Egitto,-,-
Prime forme di scrittura,-3000,Prime forme di scrittura,-,-
Civilta' della Valle dell'Indo,-2600,Civilta' della Valle dell'Indo,-,-
Grande Piramide di Giza,-2560,Grande Piramide di Giza,-,-
Composizione del Poema di Gilgamesh,-2100,Antico poema epico mesopotamico,Autore sconosciuto,Mesopotamia
Eta' del ferro,-2000,Eta' del ferro,-,-
Comparsa della scrittura alfabetica,-1800,Comparve la scrittura alfabetica,-,-
Codice di Hammurabi,-1750,Primo codice di leggi scritte,Hammurabi,Babilonia
Fine della Civilta' della Valle dell'Indo,-1700,Fine della Civilta' della Valle dell'Indo,-,-
Orologio ad acqua inventato in Egitto,-1400,Orologio ad acqua inventato in Egitto,-,-
In Cina inizia la dinastia Zhou,-1027,In Cina inizia la dinastia Zhou,-,-
Omero ha scritto l'epica Iliade e Odissea,-850,Omero ha scritto l'epica Iliade e Odissea,-,-
Fondazione di Cartagine,-814,Fondazione della citta' fenicia di Cartagine,Dido,Cartagine
Composizione dell'Iliade,-800,Uno dei primi poemi epici della storia,Omero,Grecia
Prime registrazioni dei Giochi Olimpici,-776,Prime registrazioni dei Giochi Olimpici,-,-
Fondazione di Roma,-753,La citta' di Roma fu fondata da Romolo,-,-
Ascesa dell'Impero Persiano,-653,Ascesa dell'Impero Persiano,-,-
Emergenza dei sedici Maha Janapadas in India,-600,Emergenza dei sedici Maha Janapadas in India,-,-
Studio del magnetismo,-600,Fenomeno fisico per cui materiali esercitano forze attrattive o repulsive,Tales,Grecia
Il Primo Tempio di Gerusalemme (Tempio di Salomone) fu distrutto dai Babilonesi,-586,Il Primo Tempio di Gerusalemme (Tempio di Salomone) fu distrutto dai Babilonesi,-,-
